brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
104635.0,for_sale,80000.0,3.0,1.0,0.06,982996.0,Arecibo,Puerto Rico,612.0,750.0,
38569.0,for_sale,135000.0,5.0,2.0,0.13,1437193.0,Arecibo,Puerto Rico,612.0,1500.0,
92147.0,for_sale,215000.0,3.0,3.0,0.24,1449539.0,Arecibo,Puerto Rico,612.0,2183.0,
103378.0,for_sale,42900.0,,,0.17,1855937.0,Camuy,Puerto Rico,612.0,,
103378.0,for_sale,49900.0,,,0.25,1840772.0,Arecibo,Puerto Rico,612.0,,
62210.0,for_sale,138000.0,3.0,2.0,0.25,199310.0,Arecibo,Puerto Rico,612.0,1000.0,
52707.0,for_sale,289000.0,5.0,4.0,0.2,1856979.0,Arecibo,Puerto Rico,612.0,2832.0,
62210.0,for_sale,132000.0,3.0,2.0,0.25,1725570.0,Arecibo,Puerto Rico,612.0,1000.0,
52707.0,for_sale,197000.0,4.0,4.0,0.14,1856909.0,Arecibo,Puerto Rico,612.0,1500.0,
8586.0,for_sale,1200000.0,,,0.71,1946308.0,Arecibo,Puerto Rico,612.0,,
40689.0,for_sale,185000.0,5.0,3.0,0.07,869853.0,Manati,Puerto Rico,674.0,1700.0,
33888.0,for_sale,200000.0,6.0,4.0,0.37,1855347.0,Hatillo,Puerto Rico,659.0,3400.0,
1589.0,for_sale,210000.0,3.0,2.0,0.25,913609.0,Morovis,Puerto Rico,687.0,2500.0,
92147.0,for_sale,105000.0,3.0,1.0,0.08,1869494.0,Manati,Puerto Rico,674.0,921.0,
103379.0,for_sale,113600.0,3.0,1.0,0.07,1837500.0,Manati,Puerto Rico,674.0,800.0,
103378.0,for_sale,174900.0,3.0,2.0,0.08,1985068.0,Barceloneta,Puerto Rico,617.0,1195.0,
60831.0,for_sale,3000000.0,,6.0,1.38,1836183.0,Quebradillas,Puerto Rico,678.0,3000.0,
103379.0,for_sale,134000.0,3.0,2.0,0.07,733378.0,Vega Baja,Puerto Rico,693.0,895.0,
65672.0,for_sale,245000.0,4.0,2.0,0.25,867517.0,Vega Baja,Puerto Rico,693.0,2038.0,
59533.0,for_sale,161000.0,4.0,2.0,0.09,435967.0,Caguas,Puerto Rico,727.0,1100.0,
52707.0,for_sale,225000.0,3.0,2.0,,1881195.0,Vega Baja,Puerto Rico,693.0,1217.0,
92147.0,for_sale,290000.0,4.0,2.0,0.22,1868675.0,Manati,Puerto Rico,674.0,2236.0,
109906.0,for_sale,375000.0,4.0,3.0,0.21,1854739.0,Barceloneta,Puerto Rico,617.0,2961.0,
1123.0,for_sale,425000.0,3.0,2.0,0.21,1856906.0,Camuy,Puerto Rico,627.0,2400.0,
52707.0,for_sale,1100000.0,5.0,3.0,0.56,1120998.0,Quebradillas,Puerto Rico,678.0,3000.0,
62210.0,for_sale,418000.0,5.0,3.0,0.22,2402.0,Hatillo,Puerto Rico,659.0,3650.0,
52707.0,for_sale,365000.0,5.0,3.0,1.46,1902830.0,Morovis,Puerto Rico,687.0,2366.0,
33888.0,for_sale,55000.0,,,0.2,1902872.0,Hatillo,Puerto Rico,659.0,,
33888.0,for_sale,62000.0,,,0.21,1902871.0,Hatillo,Puerto Rico,659.0,,
80224.0,for_sale,350000.0,,,10.68,1902881.0,Hatillo,Puerto Rico,659.0,,
92147.0,for_sale,95000.0,5.0,2.0,0.16,151105.0,Quebradillas,Puerto Rico,95000.0,1757.0,
103378.0,for_sale,64900.0,,,0.29,1850837.0,Camuy,Puerto Rico,627.0,,
103378.0,for_sale,49900.0,3.0,2.0,0.27,1861976.0,Barceloneta,Puerto Rico,617.0,1150.0,
60027.0,for_sale,70000.0,3.0,1.0,0.05,1877370.0,Barceloneta,Puerto Rico,617.0,,
103378.0,for_sale,90000.0,2.0,2.0,0.09,1844124.0,Barceloneta,Puerto Rico,617.0,955.0,
103378.0,for_sale,111000.0,3.0,2.0,0.08,1985086.0,Barceloneta,Puerto Rico,617.0,1015.0,
103378.0,for_sale,114400.0,3.0,2.0,0.09,1855327.0,Barceloneta,Puerto Rico,617.0,1105.0,
103378.0,for_sale,113500.0,3.0,2.0,0.14,1967757.0,Barceloneta,Puerto Rico,617.0,955.0,
19801.0,for_sale,59200.0,2.0,1.0,0.08,594668.0,Dorado,Puerto Rico,646.0,700.0,
1205.0,for_sale,63800.0,3.0,1.0,0.07,13692.0,Toa Baja,Puerto Rico,949.0,950.0,
86129.0,for_sale,45000.0,3.0,2.0,0.09,1168757.0,Toa Alta,Puerto Rico,953.0,1000.0,
19801.0,for_sale,55000.0,2.0,2.0,0.11,1913914.0,Dorado,Puerto Rico,646.0,800.0,
19801.0,for_sale,100000.0,5.0,3.0,0.61,1547175.0,Vega Alta,Puerto Rico,692.0,1400.0,
81909.0,for_sale,80000.0,4.0,2.0,0.19,1584559.0,Corozal,Puerto Rico,783.0,1500.0,
81909.0,for_sale,55000.0,2.0,2.0,1.22,1913924.0,Naranjito,Puerto Rico,719.0,1500.0,
52707.0,for_sale,157500.0,4.0,2.0,0.08,377951.0,Toa Alta,Puerto Rico,953.0,1650.0,
28817.0,for_sale,2000000.0,3.0,3.0,0.19,780900.0,Dorado,Puerto Rico,646.0,3500.0,
102909.0,for_sale,11500000.0,4.0,5.0,1.98,974575.0,Dorado,Puerto Rico,646.0,7000.0,
64069.0,for_sale,3500000.0,4.0,4.0,0.24,595727.0,Dorado,Puerto Rico,646.0,2500.0,
